TOMEK KANIA;;MALE;PRO;0;TOP TOP TOP TOP TOP TOP TOP TOP TOP TOP TOP TOP TOP TOP BONUS BONUS TOP ZERO ZERO ZERO ;1;;2;;3;ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO TOP BONUS BONUS BONUS BONUS ZERO ZERO ZERO ZERO ZERO ;4;ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO TOP TOP TOP TOP TOP TOP TOP ZERO TOP ZERO ;5;ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO TOP TOP TOP TOP TOP TOP BONUS TOP BONUS BONUS ;6;ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO TOP TOP TOP TOP TOP BONUS TOP BONUS TOP ZERO ;7;ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO TOP ZERO TOP TOP BONUS BONUS TOP ZERO ZERO ZERO ;
WIKTORIA ZIORA;;FEMALE;EASY;0;;1;TOP TOP BONUS BONUS ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ;2;;3;;4;;5;;6;;7;;
JOANNA PIOTROWSKA;CSC ADVENTURE ACADEMY;FEMALE;JUNIOR;0;TOP TOP TOP BONUS ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ;1;TOP TOP TOP TOP TOP TOP TOP BONUS BONUS ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ;2;TOP BONUS TOP TOP ZERO BONUS ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ;3;TOP TOP TOP TOP TOP TOP ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ;4;;5;TOP TOP TOP ZERO BONUS BONUS TOP ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ;6;;7;TOP TOP TOP TOP TOP TOP TOP TOP BONUS ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ;
ARTUR PIETRACHA;;MALE;HARD;0;TOP TOP TOP TOP TOP TOP TOP TOP TOP TOP TOP ZERO TOP BONUS BONUS ZERO ZERO ZERO ZERO ZERO ;1;;2;;3;;4;;5;;6;;7;;
KRZYSZTOF GIBAS;KW CZĘSTOCHOWA;MALE;EASY;0;BONUS ZERO BONUS TOP ZERO ZERO TOP ZERO BONUS ZERO BONUS ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ;1;TOP TOP TOP ZERO TOP TOP TOP TOP ZERO ZERO ZERO ZERO BONUS ZERO ZERO ZERO ZERO BONUS ZERO ZERO ;2;;3;TOP TOP TOP TOP TOP TOP TOP TOP ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ;4;BONUS TOP ZERO TOP BONUS TOP TOP ZERO BONUS BONUS BONUS TOP ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ;5;ZERO TOP TOP TOP TOP ZERO TOP ZERO ZERO TOP BONUS ZERO BONUS ZERO ZERO ZERO BONUS ZERO ZERO ZERO ;6;;7;TOP TOP TOP TOP TOP ZERO BONUS ZERO TOP TOP TOP ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ;
BARTEK DRYJA;KW LAS;MALE;EASY;0;;1;TOP TOP TOP TOP TOP TOP TOP TOP ZERO BONUS TOP TOP TOP TOP ZERO ZERO ZERO ZERO ZERO ZERO ;2;;3;;4;;5;;6;;7;;
IREK IWAŃSKI;CLIMB TEAM GOGOLIN;MALE;PRO;0;TOP TOP TOP TOP TOP TOP TOP TOP TOP TOP TOP TOP TOP TOP TOP BONUS BONUS BONUS ZERO ZERO ;1;;2;;3;;4;;5;;6;;7;;
JULIA SEWERYN;KW CZĘSTOCHOWA;FEMALE;HARD;0;TOP TOP TOP TOP TOP TOP TOP ZERO TOP TOP TOP ZERO ZERO ZERO TOP ZERO ZERO ZERO ZERO ZERO ;1;TOP TOP TOP TOP TOP TOP TOP TOP TOP BONUS TOP BONUS ZERO TOP ZERO ZERO ZERO ZERO ZERO ZERO ;2;ZERO ZERO ZERO ZERO ZERO TOP TOP TOP ZERO TOP TOP BONUS ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ;3;;4;;5;ZERO ZERO ZERO ZERO ZERO BONUS TOP TOP BONUS ZERO TOP ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ;6;ZERO ZERO ZERO ZERO ZERO TOP TOP TOP TOP TOP BONUS BONUS BONUS TOP ZERO ZERO ZERO ZERO ZERO ZERO ;7;TOP TOP TOP TOP TOP TOP TOP TOP TOP TOP TOP TOP ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ;
DOMINIK TOMCZYK;;MALE;HARD;0;;1;;2;;3;;4;;5;;6;TOP TOP TOP TOP TOP TOP BONUS TOP TOP TOP BONUS BONUS BONUS TOP ZERO BONUS ZERO ZERO ZERO ZERO ;7;;
KAROLINA ZALEWSKA;CW TRANSFORMATOR;FEMALE;EASY;0;TOP TOP TOP TOP BONUS ZERO TOP BONUS TOP BONUS ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ;1;;2;;3;TOP TOP TOP TOP TOP ZERO ZERO BONUS ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ;4;;5;;6;;7;;
